subject,path,app_type,repetition,energy_consumption,network_traffic,mean_cpu_load,mean_mem_usage,median_frame_time
twitch,twitch.tv,web,14,562.8189599999998,100521771,35.49038461538461,1677485.5192307692,24345312.0
twitch,twitch.tv,web,15,547.09776,102043041,33.5,1700125.0288461538,33783155.0
twitch,twitch.tv,web,16,561.24684,104721528,34.63461538461539,1670600.4903846155,6681989.0
twitch,twitch.tv,web,17,551.8141200000001,105198608,34.7686274509804,1681504.705882353,8790143.0
twitch,twitch.tv,web,18,561.24684,83808950,35.0,1691024.8173076923,9251388.0
twitch,twitch.tv,web,19,504.6505200000001,104693427,34.8252427184466,1691183.5533980583,7513972.0
twitch,twitch.tv,web,20,548.66988,68916052,31.701923076923077,1683230.6538461538,6967737.0
twitch,twitch.tv,web,21,556.53048,0,34.0873786407767,1671672.640776699,7011216.0
twitch,twitch.tv,web,22,573.8238,0,35.48039215686274,1701667.637254902,22858142.0
twitch,twitch.tv,web,23,561.24684,349446077,34.79047619047619,1689845.9333333333,25529987.0
twitch,twitch.tv,web,24,531.3765599999999,112943749,34.71844660194175,1689625.2815533981,7031178.0
twitch,twitch.tv,web,25,547.09776,105334066,29.82075471698113,1676446.0471698113,7179641.0
soundcloud,soundcloud.com,web,1,605.8206,10507345,44.1,1642903.82,8484751.0
soundcloud,soundcloud.com,web,2,610.5412799999999,8936223,44.41,1631764.8,8845792.0
soundcloud,soundcloud.com,web,3,605.8206,8141524,41.43030303030304,1635653.5151515151,8078851.0
soundcloud,soundcloud.com,web,4,604.24704,8560438,44.41904761904762,1647679.3047619048,8840515.0
soundcloud,soundcloud.com,web,5,605.8206,8438398,44.82666666666667,1639209.0,23063377.0
soundcloud,soundcloud.com,web,6,612.11484,8947770,46.556603773584904,1644741.6132075472,9646271.0
soundcloud,soundcloud.com,web,7,610.5412799999999,8390537,45.86,1628026.29,7334675.0
soundcloud,soundcloud.com,web,8,610.5412799999999,8599439,43.98,1632670.33,8271633.0
soundcloud,soundcloud.com,web,9,602.6734799999999,8440806,45.43396226415094,1625103.4433962265,22097513.0
soundcloud,soundcloud.com,web,10,607.3941599999999,8465630,44.71,1633795.83,10205283.0
soundcloud,soundcloud.com,web,11,615.26196,8705269,44.613207547169814,1626296.6698113207,8036936.0
soundcloud,soundcloud.com,web,12,610.5412799999999,8973803,45.101010101010104,1622426.4444444445,8288500.0
soundcloud,soundcloud.com,web,13,607.3941599999999,8228529,46.67619047619048,1641609.6952380952,9173009.0
soundcloud,soundcloud.com,web,14,608.9677200000001,8366704,43.784,1645319.11,22627207.0
soundcloud,soundcloud.com,web,15,610.5412799999999,8470920,44.25688073394495,1619232.7064220184,9000055.0
soundcloud,soundcloud.com,web,16,610.5412799999999,8816923,44.857142857142854,1632680.8285714285,8660189.0
soundcloud,soundcloud.com,web,17,610.5412799999999,8447893,44.772277227722775,1643206.9405940594,8985696.0
soundcloud,soundcloud.com,web,18,608.9677200000001,8650468,45.10476190476191,1640096.6285714286,7381057.0
soundcloud,soundcloud.com,web,19,555.46668,8399973,45.91428571428571,1633182.0285714285,7770781.0
soundcloud,soundcloud.com,web,20,610.5412799999999,8621824,46.03883495145631,1659334.854368932,8761192.0
soundcloud,soundcloud.com,web,21,604.24704,8868033,43.98,1626234.13,8107931.0
soundcloud,soundcloud.com,web,22,608.9677200000001,8368767,45.18,1625482.93,9127676.0
soundcloud,soundcloud.com,web,23,613.6884,8207550,45.1,1628497.76,22233039.0
soundcloud,soundcloud.com,web,24,605.8206,8901188,44.733333333333334,1631405.6285714286,9083863.0
